frame_idx,timestamp_sec,motion_magnitude_mean,motion_magnitude_sum,motion_area_ratio,motion_entropy,motion_concentration,small_motion_energy,new_motion_region_score,scene_change_score,global_motion_dx,global_motion_dy,global_motion_scale,global_motion_rotation,global_motion_score,residual_motion_mean,residual_motion_area_ratio,camera_motion_flag
114,3.8038,0.01468,30440.4844,0.02912,0.933089,0.583726,71.921448,0.025648,0.0,0.0743,-0.0937,1.000002,3.9e-05,0.526034,0.010997,0.017288,True
120,4.004,0.024711,51239.7109,0.034365,1.586375,0.380943,377.979641,0.014686,0.346446,0.366,-0.1655,0.999926,-3.4e-05,0.524421,0.019579,0.021433,True
126,4.2042,0.01721,35686.1484,0.027579,1.14393,0.480703,176.601893,0.016341,0.0,0.2526,-0.0784,1.0,9.1e-05,0.534014,0.012573,0.019711,True
132,4.4044,0.023434,48592.4258,0.031687,1.501022,0.383528,178.458149,0.016551,0.220596,0.018,-0.1649,1.000055,4.5e-05,0.52951,0.017415,0.015953,True
138,4.6046,0.016957,35162.9805,0.030412,1.117043,0.493636,364.649296,0.021578,0.0,-0.5051,0.4696,0.999989,-7.1e-05,0.532472,0.013075,0.023252,True
144,4.8048,0.017232,35732.5547,0.025664,1.044587,0.426921,84.22016,0.023695,0.0,-0.2525,0.1839,0.999933,-1.9e-05,0.528648,0.018882,0.019974,True
150,5.005,0.01486,30812.9121,0.025871,0.859889,0.506657,60.356251,0.030077,0.0,0.0886,-0.0822,0.999971,-9.3e-05,0.532734,0.014333,0.018177,True
156,5.2052,0.018993,39384.0508,0.029963,1.18014,0.455212,130.777345,0.038977,0.0,0.4328,-0.543,1.000013,0.000185,0.528225,0.020268,0.027784,True
162,5.4054,0.013734,28479.0215,0.029639,0.79022,0.587663,121.501807,0.03546,0.0,0.4201,-0.4166,1.000045,-1.4e-05,0.53456,0.012628,0.023007,True
168,5.6056,0.020105,41689.8672,0.032579,1.182772,0.478377,49.085599,0.043698,0.077677,0.051,0.0646,0.999964,-4.6e-05,0.522741,0.020322,0.022472,True
174,5.8058,0.013384,27752.832,0.03341,0.700902,0.74842,49.119742,0.060104,0.0,0.0528,0.0162,0.999988,-1.8e-05,0.528128,0.010027,0.020871,True
180,6.006,0.020212,41912.293,0.037347,1.051325,0.541648,44.900195,0.049279,0.119056,0.3387,-0.2173,0.999994,5.3e-05,0.527616,0.019395,0.023114,True
186,6.2062,0.018785,38953.1875,0.039599,0.979402,0.670845,139.22645,0.06312,0.066611,-0.3771,0.1353,1.000038,3e-05,0.52765,0.012899,0.024432,True
192,6.4064,0.021156,43869.1641,0.038896,1.161695,0.535085,84.21293,0.039873,0.190569,-0.3203,0.0019,1.000019,-4.2e-05,0.527496,0.017725,0.022857,True
198,6.6066,0.017357,35991.8125,0.041187,0.912464,0.698028,42.238444,0.109628,0.0,-0.1236,-0.1646,0.999914,-3.1e-05,0.524119,0.012055,0.023207,True
204,6.8068,0.022047,45717.1797,0.041542,1.356914,0.507265,220.548294,0.024985,0.253976,0.0287,-0.2008,1.000003,8e-06,0.522844,0.018563,0.026505,True
210,7.007,0.018061,37451.8203,0.040985,1.035201,0.622862,135.899347,0.04941,0.0,-0.079,0.3298,1.000008,1.7e-05,0.531883,0.015985,0.028256,True
216,7.2072,0.019878,41219.0469,0.035657,1.158525,0.479389,177.984671,0.033645,0.081294,-0.2243,0.038,1.000024,3.8e-05,0.527349,0.020345,0.026339,True
222,7.4074,0.014002,29034.9141,0.029958,0.771594,0.616414,61.553238,0.017876,0.0,-0.0125,0.1687,0.999994,-9e-05,0.530568,0.012555,0.022052,True
228,7.6076,0.019165,39741.5,0.030526,1.05216,0.482664,50.242638,0.028724,0.036035,0.3995,0.073,0.99996,-7.8e-05,0.528805,0.019345,0.020056,True
234,7.8078,0.016378,33961.7109,0.030575,0.855099,0.547967,58.77552,0.019416,0.0,1.0819,-0.6524,0.999979,4.1e-05,0.535639,0.013569,0.021281,True
240,8.008,0.021424,44425.4102,0.037715,1.316844,0.493646,235.590803,0.030283,0.14542,1.4468,-1.5934,1.000071,0.000159,0.530688,0.021713,0.039541,True
246,8.2082,0.018254,37851.9688,0.033592,1.012233,0.550027,137.513617,0.031039,0.0,-2.0796,0.5087,1.000036,8.3e-05,0.530539,0.014973,0.027974,True
252,8.4084,0.019523,40482.8828,0.036232,1.080064,0.533129,146.625359,0.064599,0.039984,-0.3706,0.3112,0.999959,-9.6e-05,0.531151,0.018723,0.028691,True
258,8.6086,0.018457,38273.0234,0.040056,0.962247,0.652746,77.009877,0.081382,0.0,0.7977,-0.5229,0.999945,2.6e-05,0.523081,0.014894,0.027484,True
264,8.8088,0.022952,47593.3906,0.047877,1.080769,0.624457,63.30906,0.111067,0.22613,-0.1478,0.2833,1.00001,-2.9e-05,0.530766,0.018903,0.02688,True
270,9.009,0.022487,46629.5,0.053694,1.178774,0.660113,164.973423,0.024402,0.195519,-1.0817,1.0824,1.000019,0.0,0.529436,0.017937,0.036297,True
276,9.2092,0.025664,53216.3516,0.04572,1.400919,0.56946,160.901014,0.008801,0.33303,0.5082,0.1106,0.999987,-6e-06,0.528834,0.02019,0.02806,True
282,9.4094,0.015263,31648.7773,0.031699,0.897788,0.599938,179.621167,0.010922,0.0,0.698,-0.3178,1.000022,5.1e-05,0.526039,0.014369,0.030167,True
288,9.6096,0.021376,44324.5469,0.033803,1.375886,0.462108,334.738789,0.00662,0.071095,0.4946,-0.3311,0.999987,-3.4e-05,0.533426,0.022844,0.038276,True
294,9.8098,0.017892,37101.707,0.032225,1.016372,0.562148,100.938146,0.015201,0.0,0.8389,-1.0418,0.999931,7.3e-05,0.538076,0.016314,0.026088,True
300,10.01,0.022746,47166.5078,0.033801,1.420852,0.465549,127.083022,0.011525,0.118889,-1.7643,-0.2699,1.000072,3.1e-05,0.536574,0.023312,0.031284,True
306,10.2102,0.01684,34919.5117,0.036953,0.943693,0.655333,119.000636,0.004649,0.0,-0.6834,0.0707,0.999952,-0.000101,0.528199,0.014318,0.029371,True
312,10.4104,0.023529,48788.957,0.045022,1.314875,0.567981,226.079826,0.06006,0.157903,0.5879,-0.3545,0.999948,1.4e-05,0.534728,0.022008,0.037245,True
318,10.6106,0.019086,39576.3516,0.043071,1.058845,0.644858,187.406237,0.008373,0.0,0.521,-0.6038,1.00007,3.6e-05,0.537163,0.015253,0.030364,True
324,10.8108,0.022942,47573.5117,0.04487,1.41332,0.513734,236.890395,0.010478,0.103882,0.7109,-0.7709,1.000009,1.2e-05,0.53524,0.021832,0.033057,True
330,11.011,0.0176,36494.3516,0.033234,1.151163,0.540131,367.569657,0.013986,0.0,0.4343,-0.7362,0.999991,8.1e-05,0.529442,0.016861,0.036555,True
336,11.2112,0.019955,41379.2578,0.030592,1.314463,0.432425,110.524996,0.006618,0.0,0.0756,-0.626,0.99992,-6.1e-05,0.528129,0.022439,0.03239,True
342,11.4114,0.015299,31723.2051,0.031553,1.032834,0.499132,312.875927,0.016436,0.0,-1.305,-0.7633,1.000079,-1.2e-05,0.521824,0.016578,0.036795,True
348,11.6116,0.023315,48346.4961,0.029728,1.517105,0.362572,220.523674,0.024176,0.181927,-0.9293,-0.0997,0.999985,5.5e-05,0.526304,0.024229,0.030257,True
354,11.8118,0.012236,25372.207,0.023716,0.702441,0.577984,86.665213,0.040458,0.0,-0.2597,0.0255,0.999993,3.4e-05,0.52737,0.010283,0.016012,True
360,12.012,0.019341,40105.5703,0.022851,1.275938,0.385732,62.440499,0.024496,0.0,0.1016,0.1369,1.000071,-2.5e-05,0.527328,0.020036,0.016095,True
366,12.2122,0.013649,28302.9531,0.022473,0.838001,0.533231,128.277766,0.027067,0.0,0.3554,-0.0557,0.999943,-3.9e-05,0.529826,0.012286,0.019922,True
372,12.4124,0.018242,37827.1328,0.026029,1.120936,0.43493,100.583068,0.03059,0.0,0.4397,-0.2484,0.999906,-1e-05,0.532303,0.018181,0.019168,True
378,12.6126,0.017509,36305.7656,0.030674,1.097652,0.49999,144.557485,0.056585,0.0,1.2178,-1.763,1.000101,2.3e-05,0.529503,0.01597,0.025258,True
384,12.8128,0.02616,54245.4609,0.045389,1.699454,0.448178,441.481365,0.079956,0.452626,0.3918,-5.6253,0.999871,0.000243,0.533266,0.024965,0.03831,True
390,13.013,0.023046,47787.9062,0.055326,1.656509,0.473746,1044.557749,0.104632,0.257238,-2.2005,-0.7513,1.000104,-0.000152,0.520024,0.021282,0.072276,True
396,13.2132,0.020417,42337.6797,0.031324,1.268325,0.458817,87.910636,0.022165,0.08171,0.2659,0.4872,1.000001,-7.4e-05,0.527874,0.019576,0.021929,True
402,13.4134,0.01737,36019.3594,0.03725,1.109176,0.545155,399.523276,0.028989,0.0,-0.3179,0.8244,0.99995,0.000102,0.519725,0.014444,0.029603,True
408,13.6136,0.022924,47534.4023,0.037258,1.457934,0.473095,211.751761,0.036049,0.198395,-0.0624,0.716,1.000019,-7.2e-05,0.516073,0.021731,0.02923,True
414,13.8138,0.017939,37197.7773,0.038543,1.080117,0.582773,365.098886,0.028909,0.0,0.5754,0.6891,1.000001,-9e-06,0.532778,0.015347,0.033472,True
420,14.014,0.022953,47596.3359,0.038905,1.490666,0.467142,292.797253,0.010773,0.167538,0.7549,0.5873,1.000065,1.4e-05,0.527492,0.021973,0.035691,True
426,14.2142,0.018126,37585.9023,0.03692,1.000751,0.609342,102.572776,0.007991,0.0,0.6513,0.5042,0.999988,3.1e-05,0.533796,0.013585,0.022973,True
432,14.4144,0.021682,44960.2422,0.038761,1.288833,0.516178,294.621786,0.012884,0.05929,0.7391,0.3182,1.000016,7e-06,0.530449,0.019429,0.029391,True
438,14.6146,0.018782,38946.1172,0.039232,1.005582,0.622009,108.224557,0.056335,0.0,-1.5498,0.4951,1.00003,6.3e-05,0.531869,0.013741,0.023935,True
444,14.8148,0.023154,48012.3125,0.044266,1.459434,0.507899,472.120529,0.009887,0.105736,-1.1976,0.5314,0.999931,-4.8e-05,0.531409,0.019992,0.034021,True
450,15.015,0.019657,40761.2891,0.041527,1.129198,0.610122,222.766838,0.023107,0.0,0.5363,0.2089,1.000026,-2.1e-05,0.530107,0.015788,0.028444,True
456,15.2152,0.022751,47176.7578,0.044449,1.358005,0.523192,251.288658,0.021486,0.120717,-0.3067,0.9461,1.00005,-2e-06,0.535217,0.021059,0.033117,True
462,15.4154,0.015539,32222.4492,0.036318,0.869198,0.652525,167.630557,0.009642,0.0,-0.0131,0.2225,1.000003,4.7e-05,0.527311,0.013468,0.0277,True
468,15.6156,0.022852,47386.75,0.035825,1.440969,0.460827,112.873026,0.019114,0.122926,0.9687,-0.0301,1.000039,2.6e-05,0.537377,0.021099,0.02481,True
474,15.8158,0.017396,36071.5664,0.032948,1.008987,0.559675,147.839016,0.019031,0.0,-0.0372,0.8014,1.000006,-5.8e-05,0.534873,0.014654,0.024172,True
480,16.016,0.021409,44394.7266,0.035098,1.398567,0.453623,266.375262,0.011278,0.055209,-0.1687,0.4285,0.999987,1.1e-05,0.533187,0.023073,0.035712,True
486,16.2162,0.015867,32902.0703,0.032978,0.915217,0.624684,127.180868,0.014981,0.0,-0.0194,0.3038,0.999954,7.1e-05,0.536344,0.013053,0.022885,True
492,16.4164,0.019328,40078.1797,0.0335,1.02676,0.524551,96.439319,0.010937,0.0,-0.0767,0.2102,1.000019,-7e-06,0.533906,0.019257,0.021016,True
498,16.6166,0.016052,33284.4219,0.03408,0.737064,0.661852,69.039117,0.009754,0.0,0.305,0.0525,0.999993,4.8e-05,0.540662,0.012804,0.019674,True
504,16.8168,0.021408,44392.3203,0.041591,1.178516,0.551364,111.509163,0.032186,0.103489,-0.1709,0.4563,0.99999,-4e-05,0.537651,0.018798,0.023801,True
510,17.017,0.017724,36753.4922,0.039299,1.011682,0.602222,253.184438,0.010682,0.0,-0.0543,0.1635,0.999943,4.3e-05,0.538323,0.015971,0.029939,True
516,17.2172,0.019699,40848.1094,0.043049,0.887246,0.567392,75.565081,0.043845,0.035013,0.208,-0.0175,0.999993,1.4e-05,0.542666,0.017864,0.019463,True
522,17.4174,0.012907,26763.5996,0.029443,0.633966,0.640865,52.749122,0.028319,0.0,0.2328,0.1213,1.000039,-2.5e-05,0.542823,0.010591,0.017719,True
528,17.6176,0.020019,41512.0352,0.034112,1.074995,0.514934,93.211264,0.050868,0.084218,0.251,0.2373,0.999959,-1.3e-05,0.53745,0.019405,0.020775,True
534,17.8178,0.014763,30613.0078,0.03644,0.682178,0.740059,50.324045,0.027091,0.0,0.3202,0.0884,0.999988,-1.1e-05,0.536274,0.010245,0.018756,True
540,18.018,0.022571,46803.3438,0.04365,1.147584,0.566104,70.815364,0.025488,0.259705,0.8463,0.0121,1.000004,4.7e-05,0.533832,0.020035,0.02301,True
546,18.2182,0.01718,35623.4883,0.040415,0.87713,0.689684,34.565048,0.025255,0.0,-0.1285,-0.335,1.000015,0.00013,0.533131,0.012922,0.023353,True
552,18.4184,0.022723,47119.1016,0.042289,1.340137,0.528786,171.023968,0.044125,0.250932,-2.3006,0.489,1.000028,-1.3e-05,0.535206,0.018531,0.026536,True
558,18.6186,0.031325,64955.2148,0.089379,2.041268,0.518424,1057.076792,0.199127,0.692808,14.0627,-2.0956,0.999938,-0.000525,0.551552,0.02168,0.05397,True
564,18.8188,0.026881,55741.375,0.050241,1.736388,0.46485,730.097378,0.046126,0.341925,0.5686,1.5061,1.000131,0.000359,0.526791,0.024638,0.057605,True
570,19.019,0.021341,44253.1445,0.046212,1.314544,0.590148,415.024394,0.019065,0.037022,0.0465,1.0247,0.99999,3.5e-05,0.528625,0.018409,0.047877,True
576,19.2192,0.022245,46127.5195,0.039482,1.298378,0.516388,162.819838,0.002243,0.062277,-0.0086,0.7381,0.999998,4.2e-05,0.536948,0.020039,0.025298,True
582,19.4194,0.017782,36873.6641,0.037679,1.125539,0.578384,437.845907,0.005385,0.0,-0.1591,0.3376,0.999977,-2e-06,0.526453,0.014295,0.034614,True
588,19.6196,0.023461,48648.7539,0.031146,1.520521,0.406928,202.837103,0.006537,0.081993,0.1241,0.2331,0.999951,-3.2e-05,0.539549,0.021521,0.022943,True
594,19.8198,0.016557,34332.5312,0.03171,0.89206,0.643926,185.183772,0.038786,0.0,0.2047,-0.0055,0.999966,7e-06,0.537203,0.009561,0.016668,True
600,20.02,0.02442,50637.7539,0.033592,1.509053,0.461806,202.946505,0.007841,0.099678,0.0302,-0.2371,0.999998,5e-05,0.537238,0.019677,0.019698,True
606,20.2202,0.020761,43049.2734,0.039102,1.230641,0.589597,469.964857,0.006798,0.0,0.0009,0.5863,1.000004,3.7e-05,0.532299,0.014001,0.028617,True
612,20.4204,0.024416,50628.332,0.034581,1.428858,0.494236,78.932561,0.010608,0.073229,-0.1226,-0.134,1.000033,3e-05,0.526184,0.01911,0.018825,True
618,20.6206,0.0201,41678.5781,0.036495,0.992066,0.665939,103.245501,0.020284,0.0,0.0404,0.1644,0.999936,1.3e-05,0.520704,0.011058,0.016813,True
624,20.8208,0.024299,50386.4883,0.034706,1.434406,0.497269,118.902476,0.014248,0.114817,-0.144,0.2301,0.999993,-3.8e-05,0.524089,0.019176,0.019758,True
630,21.021,0.019309,40040.0156,0.033003,1.07915,0.580637,117.620627,0.018273,0.0,-0.5589,-0.0547,1.000011,8e-06,0.527845,0.013264,0.021421,True
636,21.2212,0.021924,45461.4141,0.033151,1.311626,0.473661,136.202493,0.009376,0.027602,-0.6845,-0.0803,0.999963,6.3e-05,0.53145,0.018574,0.020679,True
642,21.4214,0.016846,34931.4062,0.030774,0.874803,0.580263,113.812281,0.004939,0.0,-0.7151,0.1143,1.000025,1.4e-05,0.532503,0.011198,0.018919,True
648,21.6216,0.024733,51287.0234,0.035397,1.531019,0.435404,148.132967,0.005488,0.166159,-0.5613,-0.085,0.999998,3.2e-05,0.53336,0.021313,0.022519,True
654,21.8218,0.015876,32920.4766,0.032803,0.816536,0.613789,89.950377,0.01109,0.0,-0.6504,0.0943,0.999962,-8e-06,0.534616,0.010304,0.01772,True
660,22.022,0.024186,50151.8906,0.036778,1.532322,0.453848,169.084088,0.012727,0.137178,-1.5229,0.3998,1.000041,9.4e-05,0.535132,0.018905,0.022609,True
666,22.2222,0.02201,45639.7578,0.038609,1.374931,0.512879,251.937808,0.022661,0.036008,-1.4334,1.5147,0.999932,-8.2e-05,0.528304,0.016563,0.031081,True
672,22.4224,0.024772,51368.0781,0.040058,1.581278,0.463656,311.881364,0.011578,0.159222,-1.2545,1.67,1.000028,2.6e-05,0.532587,0.019125,0.026738,True
678,22.6226,0.021393,44359.8438,0.047528,1.43735,0.523194,593.19949,0.023444,0.0,-0.6123,0.6283,0.999958,4.2e-05,0.533947,0.016617,0.046554,True
684,22.8228,0.023996,49758.707,0.036168,1.502472,0.464364,162.792305,0.020712,0.114301,-0.4403,0.1256,1.000005,1.4e-05,0.534271,0.018274,0.021196,True
690,23.023,0.017856,37025.8984,0.035102,0.998237,0.576353,73.044679,0.022343,0.0,-0.409,-0.0673,1.000018,-3.2e-05,0.523239,0.013862,0.020698,True
696,23.2232,0.02367,49081.6953,0.04098,1.512439,0.468158,145.509586,0.014579,0.108178,-0.8325,-0.3658,0.999903,3.6e-05,0.524194,0.019721,0.025815,True
702,23.4234,0.018106,37544.0547,0.040965,1.074125,0.543043,62.531931,0.016767,0.0,-1.5706,-1.673,1.000074,8e-06,0.51869,0.014096,0.022601,True
708,23.6236,0.023906,49572.2344,0.045832,1.634326,0.445295,327.141535,0.019334,0.103721,-2.3632,-1.5096,1.000106,9.4e-05,0.513059,0.022148,0.044373,True
714,23.8238,0.017766,36838.9453,0.038693,1.054975,0.577222,116.707721,0.014298,0.0,-2.3256,-0.0559,0.999908,-6.7e-05,0.515528,0.013624,0.026136,True
720,24.024,0.022136,45900.4922,0.038138,1.378724,0.47775,104.853664,0.031207,0.01698,-0.3377,-0.0601,1.000114,-2.1e-05,0.517785,0.020264,0.02266,True
726,24.2242,0.016483,34178.2891,0.033253,0.983142,0.566258,183.916983,0.02271,0.0,-0.0608,0.5805,0.999985,-5.9e-05,0.524633,0.013306,0.027264,True
732,24.4244,0.019079,39561.8555,0.032366,1.077417,0.493101,82.242721,0.025355,0.0,0.5921,0.2661,1.000001,3.6e-05,0.530196,0.017084,0.019124,True
738,24.6246,0.016523,34262.8359,0.031469,0.860274,0.55219,44.323624,0.019726,0.0,0.4503,-0.0737,1.000042,1.3e-05,0.526634,0.012485,0.018081,True
744,24.8248,0.018821,39026.9844,0.031684,1.028645,0.494225,92.554431,0.031181,0.0,0.6068,-0.2207,0.999994,1e-05,0.526874,0.01718,0.020956,True
750,25.025,0.019256,39930.2031,0.036359,1.110005,0.566191,150.012495,0.045671,0.0,0.5924,-0.4688,0.999985,1.3e-05,0.528174,0.013704,0.022446,True
756,25.2252,0.019032,39464.1172,0.03405,1.000838,0.510371,82.179753,0.03308,0.0,0.2974,-0.2591,1.000069,1.7e-05,0.527684,0.01776,0.021005,True
762,25.4254,0.016456,34123.6992,0.036061,0.907233,0.623482,64.893265,0.03481,0.0,0.2766,-0.398,1.000036,6.3e-05,0.523413,0.012406,0.021614,True
768,25.6256,0.021218,43997.25,0.038176,1.259223,0.493538,51.043696,0.026614,0.119923,0.2923,-0.2954,1.000064,5.5e-05,0.522243,0.019009,0.022401,True
774,25.8258,0.015899,32967.9023,0.038653,0.834144,0.662418,41.138207,0.047285,0.0,0.0505,-0.2139,1.000072,-4.1e-05,0.521926,0.011618,0.020835,True
780,26.026,0.023227,48162.5469,0.042953,1.415062,0.49493,72.828852,0.0324,0.256151,-0.0057,-0.1765,1.000047,8.7e-05,0.520751,0.020391,0.023195,True
786,26.2262,0.018503,38368.2578,0.041571,0.981619,0.622915,59.325091,0.039748,0.0,0.2147,-0.2386,1.000068,2.9e-05,0.528628,0.01265,0.024589,True
792,26.4264,0.021652,44897.0078,0.043588,1.157914,0.550098,40.343182,0.03037,0.151602,0.2916,-0.1053,1.000007,3.5e-05,0.52635,0.018264,0.024059,True
798,26.6266,0.018006,37336.4219,0.04042,0.823626,0.650334,54.803714,0.031447,0.0,0.1574,-0.1081,1.000062,4e-05,0.530619,0.013468,0.023009,True
804,26.8268,0.025445,52763.4961,0.044056,1.486759,0.529286,187.888198,0.036564,0.324803,0.1408,-0.3279,1.000047,5.4e-05,0.525365,0.019278,0.026825,True
810,27.027,0.020774,43076.7773,0.040606,1.226524,0.587822,164.545217,0.016001,0.045525,0.0814,-0.0093,0.999982,-1.9e-05,0.520483,0.013593,0.022348,True
816,27.2272,0.025722,53337.1797,0.04087,1.535692,0.489622,166.007031,0.027348,0.284746,0.0065,0.1024,1.000044,2e-06,0.516148,0.019047,0.022259,True
822,27.4274,0.020544,42599.0625,0.037944,1.177603,0.563177,121.322695,0.027299,0.0,-1.7143,-0.181,1.000033,9.8e-05,0.525409,0.013963,0.024388,True
828,27.6276,0.025442,52757.2148,0.040248,1.598594,0.444119,284.84495,0.014458,0.205863,-1.4664,-0.225,1.000035,2.2e-05,0.519508,0.023016,0.03494,True
834,27.8278,0.01627,33738.375,0.033951,0.880369,0.619443,30.671064,0.014722,0.0,-0.2067,-0.0892,1.000046,-2.8e-05,0.527376,0.011667,0.020187,True
840,28.028,0.026498,54946.2266,0.043332,1.59835,0.459651,102.005742,0.023576,0.229122,-0.2059,0.1117,1.000029,-4.2e-05,0.522972,0.020692,0.022126,True
846,28.2282,0.021942,45499.2383,0.044585,1.334248,0.541088,93.516799,0.017655,0.002583,0.6851,-0.4426,0.999995,-1e-05,0.527151,0.01415,0.025259,True
852,28.4284,0.030298,62825.7305,0.05498,1.770743,0.452767,454.812338,0.022117,0.362959,0.5916,-0.7654,1.000105,4.1e-05,0.524306,0.021731,0.04027,True
858,28.6286,0.021069,43688.0742,0.039452,1.157222,0.594056,139.709155,0.01484,0.0,0.2377,-0.0298,1.000022,1.4e-05,0.520744,0.012991,0.022185,True
864,28.8288,0.026646,55252.3945,0.04393,1.584898,0.49858,121.121792,0.020514,0.138681,0.2886,0.0741,1.000041,-1e-06,0.528561,0.018821,0.023374,True
870,29.029,0.023539,48809.5117,0.048247,1.460287,0.555052,376.985693,0.01057,0.000769,-0.2679,0.4817,1.000009,2.8e-05,0.521242,0.017267,0.033541,True
876,29.2292,0.029174,60494.875,0.050012,1.72858,0.466464,458.690793,0.013373,0.22595,-0.0631,0.4045,0.999959,7e-06,0.525448,0.024934,0.043366,True
882,29.4294,0.024324,50438.8359,0.052182,1.513168,0.56361,540.932555,0.015895,0.007546,-0.1435,0.4761,1.000032,2.1e-05,0.522288,0.015623,0.033904,True
888,29.6296,0.032297,66971.0078,0.062311,1.825415,0.414573,816.228697,0.012174,0.317159,-0.4609,0.8353,0.999977,1e-06,0.527401,0.024096,0.039892,True
894,29.8298,0.022359,46364.0938,0.051091,1.463043,0.545879,538.927388,0.010161,0.0,0.409,0.0291,0.999963,1e-05,0.522145,0.013509,0.03118,True
900,30.03,0.032514,67421.4531,0.055463,1.768751,0.425787,515.598727,0.015077,0.259531,0.3472,0.0389,0.999996,1.5e-05,0.520892,0.023348,0.031264,True
906,30.2302,0.021778,45159.5938,0.047169,1.278498,0.587769,178.512811,0.008813,0.0,0.1753,-0.0173,0.999987,2.6e-05,0.517335,0.011623,0.022568,True
912,30.4304,0.03166,65650.4062,0.056862,1.826456,0.437128,561.197706,0.011976,0.199257,0.4125,-0.3018,1.000003,2e-06,0.525543,0.021824,0.038394,True
918,30.6306,0.020257,42004.7578,0.042775,1.312358,0.502114,64.504152,0.006405,0.0,0.1037,-0.0612,1.0,5.1e-05,0.531543,0.013743,0.02034,True
924,30.8308,0.027911,57876.6289,0.058211,1.815399,0.423175,542.969726,0.01148,0.055051,0.4495,-0.6098,1.000035,7e-05,0.528263,0.020614,0.036306,True
930,31.031,0.023701,49147.2422,0.055074,1.683953,0.470864,618.116666,0.006521,0.0,0.2839,-0.4574,1.000044,7.9e-05,0.524631,0.016339,0.037195,True
936,31.2312,0.028308,58700.1445,0.052033,1.736667,0.39692,562.62755,0.00534,0.064317,0.1571,-0.4872,1.000071,4.8e-05,0.526808,0.021781,0.032948,True
942,31.4314,0.026572,55100.5977,0.054089,1.807749,0.442711,686.2591,0.0044,0.002313,0.616,-1.4046,1.000089,0.00012,0.53073,0.017938,0.038094,True
