video_name,frame_idx,timestamp_sec,blob_id_in_frame,merge_stage,source_raw_blob_ids,grid_row,grid_col,num_grid_cells,mean_flow_magnitude,flow_direction_coherence,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_ratio,motion_energy,mean_motion,max_motion,motion_density,center_x,center_y,aspect_ratio,scale_score,local_peak_score,spatial_novelty_score,small_blob_flag,edge_density,centroid_displacement,temporal_position_stability,texture_flicker_score,object_motion_score,global_motion_score,camera_motion_flag,blob_importance,rank_by_motion_energy,rank_by_importance,persistence_track_id,persistence_frames,selection_criterion
VIRAT_S_050201_06_001168_001240,30,1.001,1,merged,7,0,6,3,0.8854,0.9603,480,0,672,108,192,108,0.01,2038.5786,0.098311,0.280575,0.098311,576.0,54.0,1.7778,9.9995,1.231322,0.5,False,0.066696,0.0,0.0,0.0,0.536105,0.552461,True,0.104724,4,4,3,2,importance
VIRAT_S_050201_06_001168_001240,36,1.2012,0,merged,0,9,10,379,0.9535,0.9816,0,0,1920,1080,1920,1080,1.0,177245.75,0.085477,1.0,0.085477,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.060643,0.0,0.0,0.0,0.54356,0.551433,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,42,1.4014,0,merged,"2,3,4",1,11,5,0.576,0.9573,960,0,1344,162,384,162,0.03,6279.8115,0.100949,0.730746,0.100949,1152.0,81.0,2.3704,5.773406,1.126875,0.435788,False,0.045396,0.0,0.0,0.0,0.535055,0.550741,False,0.3,1,1,2,3,importance
VIRAT_S_050201_06_001168_001240,48,1.6016,0,merged,0,9,10,372,1.936,0.9928,0,0,1920,1080,1920,1080,1.0,170327.5156,0.082141,1.0,0.082141,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.05995,0.0,0.0,0.0,0.54748,0.553646,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,54,1.8018,0,merged,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",10,9,249,1.3796,0.995,0,0,1920,1080,1920,1080,1.0,137902.5,0.066504,1.0,0.066504,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.060579,0.0,0.0,0.0,0.54825,0.55257,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,60,2.002,0,merged,"0,1,2,3,4,5,6,7,8,9,10",8,9,242,0.5405,0.9139,0,0,1920,1080,1920,1080,1.0,165004.625,0.079574,1.0,0.079574,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.060106,0.0,0.0,0.0,0.519865,0.551214,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,66,2.2022,1,merged,12,6,0,1,0.5377,0.9903,0,324,96,378,96,54,0.0025,474.0875,0.091452,0.902046,0.091452,48.0,351.0,1.7778,19.996001,1.550519,1.0,True,0.105903,0.0,0.0,0.0,0.546605,0.550732,False,0.69642,3,1,12,2,importance
VIRAT_S_050201_06_001168_001240,66,2.2022,2,merged,9,1,1,1,0.5241,0.9233,96,54,192,108,96,54,0.0025,417.245,0.080487,0.390394,0.080487,144.0,81.0,1.7778,19.996001,1.364614,1.0,True,0.076582,0.0,0.0,0.0,0.523155,0.550732,False,0.365075,4,2,14,2,importance
VIRAT_S_050201_06_001168_001240,66,2.2022,0,merged,7,13,14,1,0.6518,0.886,1344,702,1440,756,96,54,0.0025,500.2478,0.096498,0.306885,0.096498,1392.0,729.0,1.7778,19.996001,1.636077,0.0,True,0.001543,0.0,0.0,0.0,0.5101,0.550732,False,0.345,2,3,19,2,importance
VIRAT_S_050201_06_001168_001240,66,2.2022,3,merged,3,11,2,5,0.5102,0.9497,192,486,288,756,96,270,0.0125,1885.3763,0.072738,0.339628,0.072738,240.0,621.0,0.3556,8.943914,1.233237,1.0,False,0.127585,0.0,0.0,0.0,0.532395,0.550732,False,0.157685,1,4,18,2,importance
VIRAT_S_050201_06_001168_001240,72,2.4024,0,merged,0,9,10,366,0.7121,0.9659,0,0,1920,1080,1920,1080,1.0,184763.875,0.089103,1.0,0.089103,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.060572,0.0,0.0,0.0,0.538065,0.550998,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,78,2.6026,0,merged,0,13,14,1,0.5122,0.9049,1344,702,1440,756,96,54,0.0025,1372.8125,0.264817,0.583065,0.264817,1392.0,729.0,1.7778,19.996001,2.337094,0.0,True,0.002894,0.0,0.0,0.0,0.516715,0.550287,False,0.3,1,1,19,2,importance
VIRAT_S_050201_06_001168_001240,84,2.8028,1,merged,17,0,2,1,0.5231,0.996,192,0,288,54,96,54,0.0025,611.1984,0.117901,0.235368,0.117901,240.0,27.0,1.7778,19.996001,1.199363,1.0,True,0.171875,0.0,0.0,0.0,0.5486,0.550603,False,0.491139,4,1,14,2,importance
VIRAT_S_050201_06_001168_001240,84,2.8028,2,merged,16,11,0,2,0.7243,0.9223,0,594,192,648,192,54,0.005,1483.4976,0.143084,0.615177,0.143084,96.0,621.0,3.5556,14.140722,1.455543,1.0,False,0.044753,0.0,0.0,0.0,0.522805,0.550603,False,0.406844,2,2,18,2,importance
VIRAT_S_050201_06_001168_001240,84,2.8028,0,merged,9,8,1,2,0.5774,0.9162,96,378,192,486,96,108,0.005,1407.4786,0.135752,0.266547,0.135752,144.0,432.0,0.8889,14.140722,1.380957,1.0,False,0.015336,0.0,0.0,0.0,0.52067,0.550603,False,0.331291,3,3,12,2,importance
VIRAT_S_050201_06_001168_001240,84,2.8028,3,merged,"0,2,3,4,6,7,11,13,14,19,20,21",7,16,59,0.5554,0.9289,960,0,1920,1080,960,1080,0.5,98516.8594,0.09502,0.584957,0.09502,1440.0,540.0,0.8889,1.414212,0.966605,1.0,False,0.036611,0.0,0.0,0.0,0.525115,0.550603,False,0.0,1,4,7,12,importance
VIRAT_S_050201_06_001168_001240,90,3.003,0,merged,0,1,18,1,0.5516,0.9807,1728,54,1824,108,96,54,0.0025,1171.6682,0.226016,1.0,0.226016,1776.0,81.0,1.7778,19.996001,2.84607,0.655947,True,0.056906,0.0,0.0,0.0,0.543245,0.550295,False,0.3,1,1,27,3,importance
VIRAT_S_050201_06_001168_001240,96,3.2032,0,merged,"0,1,2,3",9,9,297,0.5667,0.8092,0,0,1920,1080,1920,1080,1.0,159643.125,0.076988,1.0,0.076988,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.060513,0.0,0.0,0.0,0.48322,0.551047,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,102,3.4034,0,merged,"0,1,2",9,10,319,0.5801,0.8912,0,0,1920,1080,1920,1080,1.0,168290.9375,0.081159,1.0,0.081159,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.060512,0.0,0.0,0.0,0.51192,0.551209,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,114,3.8038,2,merged,3,0,15,1,0.658,0.9797,1440,0,1536,54,96,54,0.0025,571.5933,0.110261,0.240855,0.110261,1488.0,27.0,1.7778,19.996001,1.764649,1.0,True,0.082176,0.0,0.0,0.0,0.542895,0.550684,False,0.514698,3,1,29,3,importance
VIRAT_S_050201_06_001168_001240,114,3.8038,1,merged,4,18,2,1,0.5576,0.7882,192,972,288,1026,96,54,0.0025,653.6418,0.126088,1.0,0.126088,240.0,999.0,1.7778,19.996001,2.017953,0.245131,True,0.065972,0.0,0.0,0.0,0.47587,0.550684,False,0.407389,2,2,30,2,importance
VIRAT_S_050201_06_001168_001240,114,3.8038,3,merged,0,0,12,2,0.6057,0.7206,1056,0,1248,54,192,54,0.005,1343.4027,0.129572,0.489596,0.129572,1152.0,27.0,3.5556,14.140722,2.073707,1.0,False,0.054302,0.0,0.0,0.0,0.45221,0.550684,False,0.375,1,3,32,3,importance
VIRAT_S_050201_06_001168_001240,114,3.8038,0,merged,2,1,18,1,0.5488,0.9563,1728,54,1824,108,96,54,0.0025,529.4041,0.102123,0.425861,0.102123,1776.0,81.0,1.7778,19.996001,1.634401,0.0,True,0.060185,0.0,0.0,0.0,0.534705,0.550684,False,0.202422,4,4,27,3,importance
VIRAT_S_050201_06_001168_001240,120,4.004,2,merged,13,0,16,4,0.6798,0.9627,1440,0,1632,108,192,108,0.01,2336.0813,0.112658,0.249694,0.112658,1536.0,54.0,1.7778,9.9995,1.570909,0.5,False,0.031154,0.0,0.0,0.0,0.536945,0.550527,False,0.486379,2,1,29,3,importance
VIRAT_S_050201_06_001168_001240,120,4.004,1,merged,8,16,4,1,0.5524,0.9853,384,864,480,918,96,54,0.0025,403.0579,0.07775,0.177647,0.07775,432.0,891.0,1.7778,19.996001,1.084153,1.0,True,0.04784,0.0,0.0,0.0,0.544855,0.550527,False,0.405,4,2,30,2,importance
VIRAT_S_050201_06_001168_001240,120,4.004,0,merged,11,1,18,1,0.5104,0.9568,1728,54,1824,108,96,54,0.0025,436.9232,0.084283,0.184451,0.084283,1776.0,81.0,1.7778,19.996001,1.175244,0.0,True,0.067323,0.0,0.0,0.0,0.53488,0.550527,False,0.203595,3,3,27,3,importance
VIRAT_S_050201_06_001168_001240,120,4.004,3,merged,9,0,12,4,0.5718,0.9067,1056,0,1344,108,288,108,0.015,2928.7529,0.09416,0.363987,0.09416,1200.0,54.0,2.6667,8.164694,1.312969,0.5,False,0.043692,0.0,0.0,0.0,0.517345,0.550527,False,0.088933,1,4,32,3,importance
VIRAT_S_050201_06_001168_001240,126,4.2042,0,merged,0,9,9,351,0.889,0.9901,0,0,1920,1080,1920,1080,1.0,193730.3125,0.093427,1.0,0.093427,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.060975,0.0,0.0,0.0,0.546535,0.551847,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,132,4.4044,0,merged,0,9,10,387,1.8772,0.992,0,0,1920,1080,1920,1080,1.0,198222.1406,0.095593,1.0,0.095593,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.059388,0.0,0.0,0.0,0.5472,0.553485,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,138,4.6046,3,merged,9,3,15,1,0.5637,0.9934,1440,162,1536,216,96,54,0.0025,668.7445,0.129002,0.266551,0.129002,1488.0,189.0,1.7778,19.996001,1.620497,1.0,True,0.016975,0.0,0.0,0.0,0.54769,0.550846,False,0.591313,4,1,40,7,importance
VIRAT_S_050201_06_001168_001240,138,4.6046,0,merged,1,0,16,2,0.6308,0.9607,1536,0,1728,54,192,54,0.005,1418.405,0.136806,0.609029,0.136806,1632.0,27.0,3.5556,14.140722,1.718534,0.905391,False,0.018229,0.0,0.0,0.0,0.536245,0.550846,False,0.502894,2,2,29,3,importance
VIRAT_S_050201_06_001168_001240,138,4.6046,2,merged,8,13,14,1,0.58,0.8551,1344,702,1440,756,96,54,0.0025,849.6525,0.163899,0.416936,0.163899,1392.0,729.0,1.7778,19.996001,2.058871,0.0,True,0.001929,0.0,0.0,0.0,0.499285,0.550846,False,0.345,3,3,41,4,importance
VIRAT_S_050201_06_001168_001240,138,4.6046,1,merged,"2,4,5,7,10",3,12,9,0.5591,0.9276,960,0,1344,432,384,432,0.08,15528.0391,0.093606,1.0,0.093606,1152.0,216.0,0.8889,3.535512,1.175857,1.0,False,0.043529,0.0,0.0,0.0,0.52466,0.550846,False,0.136056,1,4,32,3,importance
VIRAT_S_050201_06_001168_001240,144,4.8048,0,merged,0,9,10,337,0.7002,0.9558,0,0,1920,1080,1920,1080,1.0,183308.75,0.088401,1.0,0.088401,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.058979,0.0,0.0,0.0,0.53453,0.551253,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,150,5.005,0,merged,0,0,12,1,0.656,0.5071,1152,0,1248,54,96,54,0.0025,1326.0688,0.2558,0.960444,0.2558,1200.0,27.0,1.7778,19.996001,3.418043,0.245131,True,0.086613,0.0,0.0,0.0,0.377485,0.550155,False,0.3,1,1,44,16,importance
VIRAT_S_050201_06_001168_001240,156,5.2052,1,merged,1,2,16,1,0.5802,0.9632,1536,108,1632,162,96,54,0.0025,1217.8149,0.234918,0.488238,0.234918,1584.0,135.0,1.7778,19.996001,1.788442,1.0,True,0.054784,0.0,0.0,0.0,0.53712,0.550215,False,0.33,2,1,40,7,importance
VIRAT_S_050201_06_001168_001240,156,5.2052,0,merged,0,13,14,1,0.9064,0.8668,1344,702,1440,756,96,54,0.0025,1828.2802,0.352677,0.769028,0.352677,1392.0,729.0,1.7778,19.996001,2.684951,0.0,True,0.001736,0.0,0.0,0.0,0.50338,0.550215,False,0.27,1,2,41,4,importance
VIRAT_S_050201_06_001168_001240,168,5.6056,0,merged,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",9,10,228,0.5793,0.9065,0,0,1920,1080,1920,1080,1.0,193502.9531,0.093317,1.0,0.093317,960.0,540.0,1.7778,1.0,1.0,0.0,False,0.060661,0.0,0.0,0.0,0.517275,0.550872,False,0.3,1,1,7,12,importance
VIRAT_S_050201_06_001168_001240,174,5.8058,0,merged,3,14,16,1,0.6313,0.938,1536,756,1632,810,96,54,0.0025,845.2296,0.163046,0.702349,0.163046,1584.0,783.0,1.7778,19.996001,1.933325,1.0,True,0.071566,0.0,0.0,0.0,0.5283,0.550656,False,0.437997,2,1,41,4,importance
VIRAT_S_050201_06_001168_001240,174,5.8058,1,merged,4,0,17,1,0.5105,0.9124,1632,0,1728,54,96,54,0.0025,804.041,0.155101,0.590044,0.155101,1680.0,27.0,1.7778,19.996001,1.839113,1.0,True,0.020255,0.0,0.0,0.0,0.51934,0.550656,False,0.285832,4,2,40,7,importance
VIRAT_S_050201_06_001168_001240,174,5.8058,3,merged,0,0,12,1,0.6418,0.7931,1152,0,1248,54,96,54,0.0025,945.1514,0.182321,0.676193,0.182321,1200.0,27.0,1.7778,19.996001,2.16188,0.0,True,0.071566,0.0,0.0,0.0,0.477585,0.550656,False,0.27,1,3,44,16,importance
VIRAT_S_050201_06_001168_001240,174,5.8058,2,merged,1,13,14,1,0.5142,0.8598,1344,702,1440,756,96,54,0.0025,825.1446,0.159171,0.36663,0.159171,1392.0,729.0,1.7778,19.996001,1.887384,0.0,True,0.002894,0.0,0.0,0.0,0.50093,0.550656,False,0.070407,3,4,46,11,importance
VIRAT_S_050201_06_001168_001240,180,6.006,1,merged,1,13,14,2,0.7108,0.7933,1344,702,1536,756,192,54,0.005,3503.186,0.337884,0.967944,0.337884,1440.0,729.0,3.5556,14.140722,1.940367,0.435788,False,0.01061,0.0,0.0,0.0,0.477655,0.550315,False,0.375,1,1,46,11,importance
VIRAT_S_050201_06_001168_001240,180,6.006,0,merged,5,0,17,1,0.5833,0.947,1632,0,1728,54,96,54,0.0025,1357.576,0.261878,0.623115,0.261878,1680.0,27.0,1.7778,19.996001,1.503885,0.0,True,0.017554,0.0,0.0,0.0,0.53145,0.550315,False,0.225,2,2,40,7,importance
VIRAT_S_050201_06_001168_001240,186,6.2062,3,merged,0,1,12,1,0.5253,0.9304,1152,54,1248,108,96,54,0.0025,568.4456,0.109654,0.258549,0.109654,1200.0,81.0,1.7778,19.996001,1.462811,0.490261,True,0.041088,0.0,0.0,0.0,0.52564,0.550716,False,0.440895,4,1,44,16,importance
VIRAT_S_050201_06_001168_001240,186,6.2062,2,merged,2,13,14,1,0.585,0.812,1344,702,1440,756,96,54,0.0025,892.4811,0.172161,0.452717,0.172161,1392.0,729.0,1.7778,19.996001,2.296668,0.0,True,0.001929,0.0,0.0,0.0,0.4842,0.550716,False,0.345,2,2,46,11,importance
VIRAT_S_050201_06_001168_001240,186,6.2062,0,merged,4,14,16,1,0.5112,0.9193,1536,756,1632,810,96,54,0.0025,606.9979,0.117091,0.620531,0.117091,1584.0,783.0,1.7778,19.996001,1.562019,0.0,True,0.059799,0.0,0.0,0.0,0.521755,0.550716,False,0.275554,3,3,41,4,importance
VIRAT_S_050201_06_001168_001240,186,6.2062,1,merged,"1,3",0,17,3,0.5527,0.9725,1536,0,1824,108,288,108,0.015,2676.0049,0.086034,0.414975,0.086034,1680.0,54.0,2.6667,8.164694,1.147717,0.245131,False,0.038227,0.0,0.0,0.0,0.540375,0.550716,False,0.165,1,4,40,7,importance
VIRAT_S_050201_06_001168_001240,198,6.6066,2,merged,2,3,10,1,0.5943,0.9692,960,162,1056,216,96,54,0.0025,852.8912,0.164524,0.719137,0.164524,1008.0,189.0,1.7778,19.996001,2.125289,1.0,True,0.052083,0.0,0.0,0.0,0.53922,0.550449,False,0.434656,2,1,44,16,importance
VIRAT_S_050201_06_001168_001240,198,6.6066,0,merged,1,2,16,1,0.5258,0.9705,1536,108,1632,162,96,54,0.0025,736.7682,0.142124,0.400661,0.142124,1584.0,135.0,1.7778,19.996001,1.835926,1.0,True,0.068094,0.0,0.0,0.0,0.539675,0.550449,False,0.33,3,2,40,7,importance
VIRAT_S_050201_06_001168_001240,198,6.6066,1,merged,0,13,14,1,0.561,0.8791,1344,702,1440,756,96,54,0.0025,1133.8179,0.218715,0.532178,0.218715,1392.0,729.0,1.7778,19.996001,2.82532,0.0,True,0.001736,0.0,0.0,0.0,0.507685,0.550449,False,0.27,1,3,46,11,importance
VIRAT_S_050201_06_001168_001240,204,6.8068,1,merged,1,13,14,1,0.7223,0.768,1344,702,1440,756,96,54,0.0025,1665.0812,0.321196,0.731963,0.321196,1392.0,729.0,1.7778,19.996001,2.409167,0.0,True,0.001929,0.0,0.0,0.0,0.4688,0.550392,False,0.345,2,1,46,11,importance
VIRAT_S_050201_06_001168_001240,204,6.8068,0,merged,"2,3",1,16,2,0.5483,0.9841,1440,0,1632,162,192,162,0.015,5181.5908,0.166589,0.464313,0.166589,1536.0,81.0,1.1852,8.164694,1.24952,0.655947,False,0.030285,0.0,0.0,0.0,0.544435,0.550392,False,0.255,1,2,40,7,importance
VIRAT_S_050201_06_001168_001240,210,7.007,0,merged,0,13,14,1,0.5899,0.893,1344,702,1440,756,96,54,0.0025,1479.3696,0.285372,0.62736,0.285372,1392.0,729.0,1.7778,19.996001,2.85535,0.0,True,0.002508,0.0,0.0,0.0,0.51255,0.550344,False,0.3,1,1,46,11,importance
VIRAT_S_050201_06_001168_001240,216,7.2072,1,merged,0,1,12,1,0.6202,0.8639,1152,54,1248,108,96,54,0.0025,1215.6071,0.234492,0.579436,0.234492,1200.0,81.0,1.7778,19.996001,1.777053,0.0,True,0.039931,0.0,0.0,0.0,0.502365,0.550489,False,0.595,2,1,44,16,importance
VIRAT_S_050201_06_001168_001240,216,7.2072,0,merged,"1,2",14,15,4,0.6743,0.8482,1344,702,1632,810,288,108,0.015,6207.2012,0.199563,0.85187,0.199563,1488.0,756.0,2.6667,8.164694,1.512348,0.905391,False,0.038162,0.0,0.0,0.0,0.49687,0.550489,False,0.005,1,2,46,11,importance
VIRAT_S_050201_06_001168_001240,222,7.4074,0,merged,0,13,14,1,0.7135,0.9345,1344,702,1440,756,96,54,0.0025,2036.8091,0.392903,0.891373,0.392903,1392.0,729.0,1.7778,19.996001,3.709948,0.0,True,0.001929,0.0,0.0,0.0,0.527075,0.550146,False,0.3,1,1,46,11,importance
VIRAT_S_050201_06_001168_001240,228,7.6076,0,merged,"0,1",14,15,5,0.5665,0.8409,1344,702,1632,864,288,162,0.0225,8981.8555,0.192512,0.899866,0.192512,1488.0,783.0,1.7778,6.666519,1.357569,0.245131,False,0.034851,0.0,0.0,0.0,0.494315,0.550341,False,0.3,1,1,46,11,importance
VIRAT_S_050201_06_001168_001240,234,7.8078,1,merged,0,0,12,1,0.7584,0.9726,1152,0,1248,54,96,54,0.0025,1248.3049,0.2408,1.0,0.2408,1200.0,27.0,1.7778,19.996001,3.65086,0.490261,True,0.07581,0.0,0.0,0.0,0.54041,0.550669,False,0.7,1,1,44,16,importance
VIRAT_S_050201_06_001168_001240,234,7.8078,0,merged,1,13,14,1,0.6528,0.9289,1344,702,1440,756,96,54,0.0025,1048.0244,0.202165,0.40541,0.202165,1392.0,729.0,1.7778,19.996001,3.065109,0.0,True,0.001157,0.0,0.0,0.0,0.525115,0.550669,False,0.0,2,2,46,11,importance
VIRAT_S_050201_06_001168_001240,240,8.008,1,merged,0,0,12,2,0.7782,0.8134,1152,0,1248,108,96,108,0.005,2293.6111,0.22122,1.0,0.22122,1200.0,54.0,0.8889,14.140722,2.038797,0.245131,False,0.068866,0.0,0.0,0.0,0.48469,0.550227,False,0.432362,2,1,44,16,importance
VIRAT_S_050201_06_001168_001240,240,8.008,0,merged,4,10,13,1,0.5336,0.9645,1248,540,1344,594,96,54,0.0025,605.6528,0.116831,0.275211,0.116831,1296.0,567.0,1.7778,19.996001,1.076733,1.0,True,0.001543,0.0,0.0,0.0,0.537575,0.550227,False,0.405,4,2,46,11,importance
VIRAT_S_050201_06_001168_001240,240,8.008,2,merged,5,6,17,1,0.5162,0.5372,1632,324,1728,378,96,54,0.0025,680.4601,0.131262,0.596556,0.131262,1680.0,351.0,1.7778,19.996001,1.209726,1.0,True,0.012539,0.0,0.0,0.0,0.38802,0.550227,False,0.206149,3,3,54,23,importance
VIRAT_S_050201_06_001168_001240,240,8.008,3,merged,"1,2",14,14,3,0.761,0.8055,1344,702,1536,864,192,162,0.015,5060.5371,0.162697,0.561997,0.162697,1440.0,783.0,1.1852,8.164694,1.499442,0.435788,False,0.023405,0.0,0.0,0.0,0.481925,0.550227,False,0.190006,1,4,55,28,importance
VIRAT_S_050201_06_001168_001240,246,8.2082,1,merged,1,13,14,1,0.8384,0.8981,1344,702,1440,756,96,54,0.0025,1023.1765,0.197372,0.39628,0.197372,1392.0,729.0,1.7778,19.996001,3.308464,0.0,True,0.001543,0.0,0.0,0.0,0.514335,0.550404,False,0.685,2,1,55,28,importance
VIRAT_S_050201_06_001168_001240,246,8.2082,0,merged,0,0,12,2,0.7073,0.8518,1152,0,1248,108,96,108,0.005,1992.4647,0.192174,1.0,0.192174,1200.0,54.0,0.8889,14.140722,3.22134,0.0,False,0.072724,0.0,0.0,0.0,0.49813,0.550404,False,0.0,1,2,44,16,importance
VIRAT_S_050201_06_001168_001240,252,8.4084,1,merged,0,1,12,3,0.6596,0.8378,1152,0,1248,162,96,162,0.0075,2770.0918,0.178118,0.762114,0.178118,1200.0,81.0,0.5926,11.546236,1.724826,0.245131,False,0.044496,0.0,0.0,0.0,0.49323,0.550278,False,0.487872,3,1,44,16,importance
VIRAT_S_050201_06_001168_001240,252,8.4084,0,merged,4,11,0,1,0.7086,0.8101,0,594,96,648,96,54,0.0025,812.0288,0.156641,0.436373,0.156641,48.0,621.0,1.7778,19.996001,1.516854,1.0,True,0.038773,0.0,0.0,0.0,0.483535,0.550278,False,0.36978,4,2,57,2,importance
VIRAT_S_050201_06_001168_001240,252,8.4084,2,merged,1,6,17,3,0.7666,0.6849,1632,324,1824,432,192,108,0.01,3620.3701,0.174593,1.0,0.174593,1728.0,378.0,1.7778,9.9995,1.690696,0.5,False,0.008054,0.0,0.0,0.0,0.439715,0.550278,False,0.219964,2,3,54,23,importance
