frame_idx,timestamp_sec,motion_magnitude_mean,motion_magnitude_sum,motion_area_ratio,motion_entropy,motion_concentration,small_motion_energy,new_motion_region_score,scene_change_score,global_motion_dx,global_motion_dy,global_motion_scale,global_motion_rotation,global_motion_score,residual_motion_mean,residual_motion_area_ratio,camera_motion_flag,global_flow_method,original_motion_mean,global_motion_mean,flow_direction_coherence,background_jitter_flag,background_jitter_score,jitter_suppression_applied
156,5.2052,0.131353,272374.4375,0.964734,3.786678,0.191263,6.233119,0.000236,0.558166,0.1031,-0.0041,1.000024,-3e-06,0.550215,0.131353,0.964734,False,affine,0.153614,0.498772,0.620924,False,0.515595,False
162,5.4054,0.084065,174316.2812,0.647675,3.73618,0.25871,1007.075035,1e-06,0.0,-0.0957,-0.0137,1.000006,6e-06,0.550174,0.084065,0.647675,False,affine,0.088181,0.502438,0.571048,False,0.605206,False
168,5.6056,0.093317,193502.9531,0.89264,3.306283,0.199823,107.607791,6.8e-05,0.036548,0.5115,0.0128,0.999985,-1e-05,0.550872,0.093317,0.89264,False,affine,0.177767,0.501257,0.892025,False,0.583454,False
174,5.8058,0.084334,174875.8125,0.744919,3.483475,0.240715,592.455087,3.2e-05,0.0,0.3139,0.0206,1.000057,-4.4e-05,0.550656,0.084334,0.744919,False,affine,0.104364,0.50614,0.867369,False,0.675582,False
180,6.006,0.174134,361084.9375,0.982969,4.199316,0.186523,12.917122,0.000184,0.942052,0.1479,-0.0391,0.999991,5.5e-05,0.550315,0.174134,0.982969,False,affine,0.186073,0.472127,0.683419,False,0.505026,False
186,6.2062,0.074961,155439.2344,0.691505,3.282746,0.21455,726.529326,4e-06,0.0,0.3849,0.0339,0.999959,-1.3e-05,0.550716,0.074961,0.691505,False,affine,0.104386,0.501757,0.789294,False,0.670882,False
192,6.4064,0.121243,251410.0781,0.957525,3.678923,0.198134,8.758074,4.3e-05,0.236414,0.3595,-0.018,1.000021,1.8e-05,0.550641,0.121243,0.957525,False,affine,0.185741,0.502473,0.879549,False,0.563865,False
198,6.6066,0.077412,160522.4062,0.673928,3.437328,0.246533,741.450343,6e-06,0.0,-0.2604,-0.0041,0.999995,-1.5e-05,0.550449,0.077412,0.673928,False,affine,0.10408,0.497525,0.820999,False,0.67583,False
204,6.8068,0.133323,276457.5625,0.970118,3.831859,0.198204,2.084867,0.000102,0.327834,-0.2098,0.0454,0.999979,-3e-06,0.550392,0.133323,0.970118,False,affine,0.141882,0.50123,0.750969,False,0.567644,False
210,7.007,0.099943,207241.7656,0.809187,3.783795,0.237092,311.12435,2e-05,0.0,-0.125,-0.0757,0.999983,8.3e-05,0.550344,0.099943,0.809187,False,affine,0.133185,0.459971,0.76407,False,0.581352,False
216,7.2072,0.131956,273623.0625,0.972189,3.758517,0.192105,16.773754,8.8e-05,0.228538,0.2079,0.0439,1.000047,-6.5e-05,0.550489,0.131956,0.972189,False,affine,0.142437,0.49902,0.719576,False,0.557609,False
222,7.4074,0.105905,219605.125,0.788614,3.962205,0.238823,312.482828,2.1e-05,0.0,0.0379,-0.0607,1.000006,1.9e-05,0.550146,0.105905,0.788614,False,affine,0.115896,0.490475,0.48119,False,0.515583,False
228,7.6076,0.141807,294050.3438,0.984415,3.773183,0.183352,3.464152,7.4e-05,0.293232,0.1601,0.0535,1.000011,-5.1e-05,0.550341,0.141807,0.984415,False,affine,0.161712,0.46312,0.711056,False,0.533637,False
234,7.8078,0.065957,136768.2812,0.603545,3.151519,0.235733,1022.545247,0.0,0.0,0.3515,-0.0011,0.999962,2.9e-05,0.550669,0.065957,0.603545,False,affine,0.083636,0.505432,0.78841,False,0.71168,False
240,8.008,0.108505,224996.4531,0.930226,3.534567,0.190831,96.757758,2.6e-05,0.0,0.1239,-0.0107,1.000009,8e-06,0.550227,0.108505,0.930226,False,affine,0.119178,0.503126,0.74493,False,0.591059,False
246,8.2082,0.059657,123704.0703,0.506025,3.056881,0.257305,1704.718027,0.0,0.0,0.2272,0.003,1.000012,-1.2e-05,0.550404,0.059657,0.506025,False,affine,0.06696,0.50204,0.704957,False,0.717774,False
252,8.4084,0.103267,214134.9219,0.920197,3.463077,0.197302,122.295867,3.2e-05,0.0,0.1264,-0.0805,1.000006,2.5e-05,0.550278,0.103267,0.920197,False,affine,0.11788,0.471164,0.656695,False,0.566031,False
258,8.6086,0.047164,97799.2891,0.334597,2.96376,0.30948,1997.80774,1e-06,0.0,-0.0436,0.1016,0.999988,-5.5e-05,0.550251,0.047164,0.334597,False,affine,0.047385,0.49289,0.287231,False,0.639192,False
264,8.8088,0.092927,192694.2188,0.889089,3.314977,0.203509,144.510251,0.000194,0.0,0.1926,0.0053,1.000028,-1.3e-05,0.550378,0.092927,0.889089,False,affine,0.118623,0.504402,0.739721,False,0.604258,False
270,9.009,0.062385,129361.2031,0.500084,3.143312,0.272456,1337.686218,6.7e-05,0.0,-0.4096,-0.0391,0.99998,9e-05,0.55079,0.062385,0.500084,False,affine,0.140005,0.481773,0.958399,False,0.707189,False
276,9.2092,0.0777,161118.3438,0.64971,3.283641,0.276467,1090.595073,5.5e-05,0.0,-2.2186,-0.0697,1.000035,-2.2e-05,0.55371,0.0777,0.64971,False,affine,0.209101,0.500675,0.988741,False,0.641223,False
282,9.4094,0.054209,112406.8594,0.407235,3.131449,0.291685,1977.992771,1.5e-05,0.0,-0.0924,0.033,0.999956,-4.7e-05,0.550281,0.054209,0.407235,False,affine,0.062681,0.519294,0.633013,False,0.711842,False
288,9.6096,0.089428,185438.6875,0.886071,3.20873,0.197364,91.195829,0.000767,0.099199,0.2413,0.049,1.000022,-2.4e-05,0.550464,0.089428,0.886071,False,affine,0.11415,0.500232,0.742706,False,0.617122,False
294,9.8098,0.10552,218805.6875,0.830326,3.863722,0.252321,285.864156,0.000216,0.38623,-0.16,-0.0642,0.999968,4.3e-05,0.550378,0.10552,0.830326,False,affine,0.099596,0.490863,0.656583,False,0.586312,False
300,10.01,0.14065,291652.125,0.973829,3.90983,0.194906,6.292813,0.000483,0.756454,-0.273,0.0228,1.00003,-6.4e-05,0.550558,0.14065,0.973829,False,affine,0.167597,0.470001,0.720244,False,0.529854,False
306,10.2102,0.047693,98895.3281,0.351196,3.021905,0.309691,1852.024314,6e-06,0.0,-0.0081,-0.0667,1.000007,4.5e-05,0.550163,0.047693,0.351196,False,affine,0.048977,0.483836,0.430249,False,0.679271,False
312,10.4104,0.115094,238659.5625,0.947921,3.619754,0.197394,18.963008,0.000125,0.401977,-0.292,-0.008,0.999999,-3.8e-05,0.550513,0.115094,0.947921,False,affine,0.135399,0.479078,0.747126,False,0.573695,False
318,10.6106,0.053512,110961.6328,0.417841,3.135006,0.290991,2723.688319,1.4e-05,0.0,0.0275,0.0176,0.999992,-1.4e-05,0.55008,0.053512,0.417841,False,affine,0.054185,0.47067,0.219743,False,0.598694,False
324,10.8108,0.097247,201651.7812,0.887693,3.454569,0.209493,169.11201,9.5e-05,0.158922,0.071,-0.0052,1.000013,-7e-06,0.550146,0.097247,0.887693,False,affine,0.106281,0.504655,0.455814,False,0.52416,False
330,11.011,0.071997,149292.7969,0.589192,3.400928,0.275372,1491.750389,4.3e-05,0.0,0.2455,0.0108,0.999963,3.5e-05,0.550499,0.071997,0.589192,False,affine,0.097444,0.503529,0.669638,False,0.648626,False
336,11.2112,0.099279,205864.5312,0.899555,3.463148,0.216476,150.323195,0.000523,0.163811,-0.0102,-0.0251,1.000033,-2.3e-05,0.550124,0.099279,0.899555,False,affine,0.098252,0.505505,0.099857,False,0.422231,False
342,11.4114,0.061211,126927.4688,0.483402,3.149165,0.272981,1959.36402,0.0,0.0,0.2299,0.0111,0.999984,2.1e-05,0.550423,0.061211,0.483402,False,affine,0.073636,0.498737,0.685773,False,0.701492,False
348,11.6116,0.121563,252073.25,0.959556,3.654122,0.199408,12.044991,0.000697,0.378844,0.1321,0.0431,0.999992,-7e-05,0.550304,0.121563,0.959556,False,affine,0.11435,0.473627,0.642093,False,0.565572,False
354,11.8118,0.038711,80270.9844,0.222606,2.458715,0.249734,1635.911479,1e-06,0.0,-0.2513,-0.0427,1.000022,3.6e-05,0.550489,0.038711,0.222606,False,affine,0.05775,0.497457,0.739096,False,0.780141,False
360,12.012,0.059217,122791.4688,0.531698,2.81993,0.226915,1544.929651,4.5e-05,0.0,-0.3836,0.025,0.999999,-2.4e-05,0.550651,0.059217,0.531698,False,affine,0.11577,0.489662,0.831906,False,0.702506,False
366,12.2122,0.041251,85538.7031,0.272575,2.583354,0.25409,1540.400711,0.000107,0.0,0.2858,0.0215,0.999945,-1.4e-05,0.55058,0.041251,0.272575,False,affine,0.04424,0.504565,0.59812,False,0.747778,False
372,12.4124,0.078234,162227.0469,0.789361,3.130845,0.203561,553.621922,0.000297,0.030646,-0.0592,0.0631,1.000053,-1.8e-05,0.550252,0.078234,0.789361,False,affine,0.079686,0.461412,0.410839,False,0.578243,False
378,12.6126,0.092225,191237.6406,0.796881,3.585304,0.235062,406.031521,0.000131,0.276961,0.288,0.015,0.999993,-3.8e-05,0.550519,0.092225,0.796881,False,affine,0.092559,0.474928,0.686097,False,0.618536,False
384,12.8128,0.087598,181643.8438,0.844613,3.279879,0.215971,249.047574,0.000771,0.151192,0.6378,0.0435,0.999983,-2e-05,0.551094,0.087598,0.844613,False,affine,0.157495,0.50096,0.943407,False,0.632831,False
390,13.013,0.085728,177764.7969,0.748207,3.507319,0.25198,543.960822,8.6e-05,0.141078,0.4102,-0.0363,0.999981,6.5e-05,0.550766,0.085728,0.748207,False,affine,0.127114,0.47731,0.834969,False,0.637798,False
396,13.2132,0.104406,216495.5938,0.920719,3.498525,0.214425,54.552947,0.000365,0.364749,-0.276,0.0266,1.000014,-5e-06,0.550484,0.104406,0.920719,False,affine,0.126602,0.500326,0.608015,False,0.541736,False
402,13.4134,0.063861,132422.6875,0.48833,3.251097,0.287383,2070.893258,0.0,0.0,-0.2582,0.001,1.000006,-1.7e-05,0.550447,0.063861,0.48833,False,affine,0.10101,0.493165,0.795364,False,0.698654,False
408,13.6136,0.100206,207786.75,0.913145,3.425932,0.211239,62.269112,0.000214,0.296669,-0.2659,-0.001,1.000031,-1.4e-05,0.550504,0.100206,0.913145,False,affine,0.133899,0.504235,0.703296,False,0.562212,False
414,13.8138,0.069634,144393.3125,0.595805,3.240688,0.273428,1190.7939,3.3e-05,0.0,0.2609,0.0285,0.99997,-6e-06,0.550489,0.069634,0.595805,False,affine,0.06458,0.49904,0.442964,False,0.621865,False
420,14.014,0.139351,288958.8125,0.978611,3.864179,0.201256,5.246857,0.00058,0.781166,-0.2547,-0.0652,1.000038,3.3e-05,0.550527,0.139351,0.978611,False,affine,0.144214,0.50719,0.444834,False,0.473213,False
426,14.2142,0.078931,163671.3281,0.670856,3.475503,0.251157,784.166755,2.5e-05,0.0,-0.4384,-0.029,1.000013,7e-06,0.550748,0.078931,0.670856,False,affine,0.107752,0.500991,0.899836,False,0.692364,False
432,14.4144,0.140412,291158.25,0.975236,3.920775,0.199145,12.204579,0.000153,0.55983,-0.2284,-0.0335,0.999955,3.7e-05,0.550492,0.140412,0.975236,False,affine,0.160517,0.505535,0.819403,False,0.567469,False
438,14.6146,0.068749,142558.75,0.573297,3.289325,0.274389,1414.721731,1.6e-05,0.0,-0.2135,0.0402,1.000034,-5.7e-05,0.550467,0.068749,0.573297,False,affine,0.086376,0.489378,0.785942,False,0.702311,False
444,14.8148,0.081645,169299.1094,0.761736,3.269846,0.240798,524.07353,3e-06,0.0,0.7211,0.0283,1.000012,-1.6e-05,0.551216,0.081645,0.761736,False,affine,0.196555,0.50024,0.926609,False,0.614693,False
450,15.015,0.065472,135763.0469,0.558764,3.216606,0.259216,1433.83336,0.0,0.0,0.4838,0.0127,0.999981,-8e-06,0.550833,0.065472,0.558764,False,affine,0.13914,0.501142,0.855307,False,0.671048,False
456,15.2152,0.080116,166128.7344,0.762884,3.214286,0.234465,559.96387,2.4e-05,0.0,0.6488,0.0073,1.000019,6.2e-05,0.551151,0.080116,0.762884,False,affine,0.200921,0.495362,0.930251,False,0.618843,False
462,15.4154,0.063072,130785.3438,0.548383,3.107797,0.262628,1225.237968,3.9e-05,0.0,0.2665,-0.0288,0.999989,-3.3e-05,0.550488,0.063072,0.548383,False,affine,0.106456,0.475784,0.781875,False,0.690135,False
468,15.6156,0.069006,143090.9375,0.662437,2.989442,0.230805,858.281581,0.000289,0.0,0.2951,0.0353,1.000029,4e-06,0.550541,0.069006,0.662437,False,affine,0.134062,0.496626,0.863501,False,0.67208,False
474,15.8158,0.070793,146795.625,0.603746,3.307721,0.226934,987.648104,0.000139,0.0,0.6272,0.0006,1.000024,1.2e-05,0.551079,0.070793,0.603746,False,affine,0.147178,0.501224,0.910067,False,0.667903,False
480,16.016,0.058747,121818.6484,0.496864,2.888054,0.22777,1727.045625,0.000143,0.0,-0.7345,-0.0342,0.999969,4.8e-05,0.549101,0.058747,0.496864,False,affine,0.097668,0.499626,0.888403,False,0.740506,False
486,16.2162,0.040256,83474.9688,0.231435,2.687723,0.334543,1257.421406,1.6e-05,0.0,-1.9353,0.0122,0.999964,-2.4e-05,0.552148,0.040256,0.231435,False,affine,0.143194,0.500787,0.994706,False,0.758795,False
492,16.4164,0.003507,7272.457,0.028416,0.261915,0.868233,492.948805,0.0,0.0,0.3942,0.0055,0.999993,-1.1e-05,0.550667,0.030471,0.079744,True,affine,0.048576,0.499409,0.790758,True,0.822312,True
498,16.6166,0.003583,7429.0552,0.028011,0.263994,0.8696,643.961045,0.000997,0.0,0.5265,0.0049,0.999968,5.9e-05,0.55097,0.03095,0.097831,False,affine,0.045325,0.492336,0.801956,True,0.828326,True
504,16.8168,0.054248,112487.9922,0.469973,2.675998,0.224096,1729.815182,0.077807,0.011712,0.3642,0.036,1.000007,-5.4e-05,0.55066,0.054248,0.469973,False,affine,0.10756,0.478083,0.91161,False,0.745477,False
510,17.017,0.044388,92043.0,0.315674,2.77762,0.262102,1029.321579,0.020367,0.0,0.6825,-0.0154,1.000077,-1.3e-05,0.551266,0.044388,0.315674,False,affine,0.090075,0.499551,0.942508,False,0.793893,False
516,17.2172,0.030629,63513.1836,0.117015,2.095517,0.248509,559.736527,0.016635,0.0,-0.1145,-0.0604,0.999952,7.8e-05,0.548168,0.030629,0.117015,False,affine,0.031844,0.482087,0.35082,False,0.557363,False
522,17.4174,0.00461,9559.6836,0.037165,0.340132,0.91148,272.307261,0.025316,0.0,-0.2394,0.0389,1.00002,-5.3e-05,0.54938,0.028478,0.088767,False,affine,0.041211,0.476007,0.779086,True,0.830981,True
528,17.6176,0.00291,6034.7246,0.02225,0.215793,0.849146,448.117597,0.016005,0.0,-0.433,0.0192,0.999991,2.3e-05,0.550745,0.028949,0.070981,True,affine,0.055271,0.498006,0.853632,True,0.836779,True
534,17.8178,0.01762,36537.6914,0.033119,1.49317,0.297653,651.785166,0.003845,0.0,-0.1491,-0.0183,0.999966,-7e-06,0.549212,0.01762,0.033119,True,affine,0.02613,0.495546,0.812708,False,0.670644,False
540,18.018,0.038738,80326.125,0.194358,2.187792,0.2254,2065.210826,0.123185,0.487049,0.1458,0.0236,1.000011,-2.5e-05,0.549184,0.038738,0.194358,False,affine,0.039143,0.489874,0.322281,False,0.653332,False
546,18.2182,0.055324,114719.3281,0.447491,2.906649,0.256194,1456.669915,0.343208,1.300465,-0.2497,-0.0418,1.000008,1.8e-05,0.550444,0.055324,0.447491,False,affine,0.064272,0.498593,0.479977,False,0.661932,False
552,18.4184,0.065509,135839.375,0.650798,2.867674,0.215775,1648.521584,0.271956,1.563378,-0.4059,0.0176,0.99998,-1e-06,0.550701,0.065509,0.650798,False,affine,0.104,0.498313,0.880113,False,0.717461,False
558,18.6186,0.034733,72022.0312,0.201536,2.435781,0.282877,1250.112357,0.007538,0.093745,-0.5428,0.015,0.99999,1e-05,0.550915,0.034733,0.201536,False,affine,0.086822,0.500799,0.939864,False,0.816024,False
564,18.8188,0.054433,112871.7344,0.439255,2.672248,0.24403,2207.655136,0.003743,0.560979,-0.2074,-0.0478,1.000022,-8e-06,0.550395,0.054433,0.439255,False,affine,0.068184,0.504503,0.700597,False,0.725554,False
570,19.019,0.004335,8988.7178,0.03309,0.313398,0.902059,1136.478569,2.6e-05,0.0,0.5979,0.054,0.999974,-2.3e-05,0.551049,0.029137,0.077721,True,affine,0.042933,0.502008,0.870713,True,0.855236,True
576,19.2192,0.004619,9578.2725,0.034322,0.325144,0.896163,881.704709,0.001417,0.0,0.5017,-0.0077,1.000041,-3e-06,0.550896,0.032242,0.09304,False,affine,0.060777,0.497982,0.928891,True,0.846654,True
582,19.4194,0.002373,4919.8745,0.015853,0.169404,0.86453,370.232147,0.00416,0.0,0.5774,0.0122,0.999981,3.8e-05,0.547712,0.022268,0.038978,True,affine,0.041072,0.495754,0.893366,True,0.877839,True
588,19.6196,0.002758,5719.2065,0.019534,0.194857,0.836181,695.560595,0.043745,0.0,0.5163,0.0026,1.000036,-4.1e-05,0.548745,0.029482,0.062231,True,affine,0.056339,0.502216,0.935337,True,0.859038,True
594,19.8198,0.018983,39363.8281,0.027889,1.528282,0.277884,523.217716,0.022051,0.0,0.3638,-0.0033,0.999982,0.0,0.547327,0.018983,0.027889,True,affine,0.025843,0.497849,0.799942,False,0.709942,False
600,20.02,0.003497,7251.4648,0.023099,0.238662,0.877822,458.878291,0.211954,0.0,0.6031,0.0315,0.99998,1e-05,0.548832,0.02879,0.063013,True,affine,0.051804,0.501307,0.901976,True,0.855452,True
606,20.2202,0.004324,8965.2422,0.035302,0.318345,0.919583,545.944428,0.401326,0.0,-1.255,-0.0833,1.000051,-2e-06,0.54995,0.025424,0.09839,False,affine,0.102267,0.498933,0.981274,True,0.829904,True
612,20.4204,0.042651,88440.4219,0.256181,2.500492,0.259763,1803.770327,0.378787,1.180915,-1.7382,0.0822,0.999962,-3.5e-05,0.548544,0.042651,0.256181,False,affine,0.167242,0.500875,0.96745,False,0.719109,False
618,20.6206,0.01912,39647.8906,0.027585,1.534764,0.293958,404.067231,0.020371,0.107109,0.3698,-0.0374,0.999984,-2e-06,0.548438,0.01912,0.027585,True,affine,0.025686,0.500182,0.751124,False,0.678847,False
624,20.8208,0.023966,49696.6406,0.040319,1.644461,0.257644,551.427297,0.014712,0.525623,0.3227,0.0042,0.999998,4e-05,0.548367,0.023966,0.040319,True,affine,0.035107,0.475297,0.845489,False,0.736688,False
630,21.021,0.020781,43092.3398,0.035827,1.622036,0.291244,675.644825,0.006472,0.641166,0.3191,0.0108,1.000004,-3.9e-05,0.545064,0.020781,0.035827,True,affine,0.028213,0.482727,0.802037,False,0.702621,False
636,21.2212,0.003487,7230.0762,0.02125,0.22703,0.894232,448.426668,0.010178,0.0,0.6865,-0.0181,0.999992,6e-06,0.546742,0.025673,0.046987,True,affine,0.055142,0.500521,0.941803,True,0.869927,True
642,21.4214,0.003798,7876.5645,0.022715,0.243304,0.91765,222.911715,0.023146,0.0,0.7254,-0.0027,0.999995,6.3e-05,0.544651,0.022908,0.039557,True,affine,0.047624,0.494088,0.929273,True,0.88005,True
648,21.6216,0.025719,53331.6016,0.051635,1.753912,0.291817,370.124982,0.044946,0.793963,0.0489,-0.015,1.000011,2.4e-05,0.544625,0.025719,0.051635,True,affine,0.026967,0.503786,0.45347,False,0.530541,False
654,21.8218,0.017047,35348.0078,0.030872,1.39409,0.347954,220.976782,0.009961,0.024889,-0.2683,0.0181,0.999979,3e-06,0.54718,0.017047,0.030872,True,affine,0.02227,0.498598,0.772786,False,0.670546,False
660,22.022,0.026128,54178.6484,0.049903,1.716933,0.266194,519.611819,0.037437,0.589375,-0.2646,-0.0696,0.999992,4.7e-05,0.548303,0.026128,0.049903,True,affine,0.037932,0.474888,0.797607,False,0.759418,False
666,22.2222,0.019734,40921.043,0.040628,1.578548,0.335317,387.501149,0.015949,0.05519,0.1417,0.0875,0.999988,-8.6e-05,0.549271,0.019734,0.040628,True,affine,0.017928,0.464847,0.371547,False,0.528293,False
672,22.4224,0.027888,57828.0117,0.058171,1.790617,0.266361,655.686645,0.011537,0.377634,0.3144,-0.0168,0.999947,8.4e-05,0.546285,0.027888,0.058171,True,affine,0.034315,0.467887,0.745975,False,0.681252,False
678,22.6226,0.015915,33002.1055,0.042012,1.319122,0.421824,407.905125,0.002592,0.0,-0.0552,-0.0725,1.000081,-1.8e-05,0.54811,0.015915,0.042012,True,affine,0.015504,0.477429,0.29236,False,0.499342,False
684,22.8228,0.00485,10056.8945,0.031579,0.318193,0.918746,537.857881,0.023311,0.0,0.5612,0.0638,0.999931,9e-06,0.548855,0.028037,0.065791,True,affine,0.045929,0.499803,0.858169,True,0.850344,True
690,23.023,0.033584,69640.4844,0.172978,2.422293,0.34844,666.530734,0.3378,1.031132,-1.7872,-0.1056,0.999979,8.9e-05,0.550843,0.033584,0.172978,False,affine,0.174113,0.49357,0.986604,False,0.735354,False
696,23.2232,0.036787,76282.25,0.189624,2.312101,0.271138,1395.85919,0.073378,1.064956,-0.9356,0.0181,0.999996,-4.8e-05,0.55048,0.036787,0.189624,False,affine,0.105261,0.490107,0.930875,False,0.788731,False
702,23.4234,0.022662,46991.5625,0.044165,1.737897,0.294115,508.855756,0.005797,0.071727,0.3866,-0.002,0.999994,2.7e-05,0.547367,0.022662,0.044165,True,affine,0.029739,0.488401,0.725868,False,0.690666,False
708,23.6236,0.03321,68863.8125,0.103916,2.005319,0.273109,1251.222728,0.031667,0.441931,-0.3231,0.0193,1.000001,-5e-06,0.547235,0.03321,0.103916,False,affine,0.045779,0.497672,0.661626,False,0.781203,False
