frame_idx,timestamp_sec,motion_magnitude_mean,motion_magnitude_sum,motion_area_ratio,motion_entropy,motion_concentration,small_motion_energy,new_motion_region_score,scene_change_score,global_motion_dx,global_motion_dy,global_motion_scale,global_motion_rotation,global_motion_score,residual_motion_mean,residual_motion_area_ratio,camera_motion_flag
210,8.761,0.010993,10131.5107,0.01811,1.049545,0.428014,129.260869,0.008631,0.0,-0.0075,0.0011,1.000004,-1e-06,0.550027,0.003577,0.003635,True
215,8.9695,0.014537,13396.876,0.01446,1.320264,0.327987,245.213937,0.005458,0.0,-0.0167,-0.0029,1.000004,1e-06,0.55005,0.014016,0.049976,True
220,9.1781,0.021462,19779.168,0.06626,1.84545,0.333559,304.757622,0.134615,0.0,0.0082,0.0026,0.99998,1e-06,0.550058,0.007636,0.004425,True
225,9.3867,0.009803,9034.2227,0.01055,0.880758,0.432787,111.841663,0.007678,0.0,-0.0037,0.0074,1.000002,-1.3e-05,0.548935,0.007935,0.015021,True
230,9.5953,0.02013,18552.1836,0.026096,1.691187,0.278107,767.831352,0.01476,0.0,0.0009,0.0035,1.0,-5e-06,0.548914,0.019566,0.066119,True
235,9.8039,0.008361,7705.4209,0.009336,0.729624,0.465101,97.98817,0.01435,0.0,0.0037,0.002,0.999994,3e-06,0.550024,0.007245,0.012486,True
240,10.0125,0.014956,13783.0947,0.017648,1.392926,0.349281,467.421338,0.016895,0.0,0.0026,0.0051,0.99999,2e-06,0.550033,0.015557,0.063096,True
245,10.2211,0.015167,13977.4678,0.007543,1.252345,0.291547,70.384119,0.008964,0.038781,0.0097,0.0032,0.999984,-2e-06,0.550056,0.014242,0.007611,True
250,10.4297,0.060424,55686.3047,0.615184,2.781046,0.197263,692.531909,0.574558,2.964757,0.0092,0.0056,1.000029,4e-06,0.550083,0.056209,0.516515,False
255,10.6383,0.034047,31377.957,0.208954,2.374817,0.243433,1773.041543,0.031881,0.665234,0.0016,-0.0144,0.999972,5e-06,0.55009,0.031333,0.228141,False
260,10.8469,0.019745,18197.4492,0.05033,1.758909,0.318894,910.961433,0.007054,0.0,0.014,-0.0009,0.999984,7e-06,0.55007,0.01845,0.084221,False
265,11.0555,0.021858,20144.5039,0.03366,1.780952,0.269897,1113.550892,0.001983,0.0,0.0115,-0.0016,0.999985,2e-06,0.548958,0.024737,0.13298,False
270,11.2641,0.019281,17769.4199,0.028868,1.595391,0.292333,229.547233,0.007886,0.0,0.0043,0.0015,0.999997,-2e-06,0.548918,0.011697,0.006838,True
275,11.4727,0.012671,11677.1641,0.011825,1.159058,0.382931,135.350901,0.000269,0.0,0.0071,-0.0006,1.000004,2e-06,0.548926,0.012041,0.033861,True
280,11.6813,0.0144,13270.7119,0.007691,1.151751,0.299892,49.54061,0.003488,0.0,0.0129,0.0009,0.999987,3e-06,0.550057,0.014949,0.00949,True
285,11.8899,0.007547,6955.2661,0.008963,0.627648,0.506358,58.079747,0.006911,0.0,0.0089,0.008,0.999988,-3e-06,0.550053,0.006466,0.01465,True
290,12.0985,0.017735,16344.1602,0.012001,1.484373,0.293856,150.325338,0.009833,0.0,0.0046,0.0066,0.999989,-6e-06,0.547844,0.019898,0.067687,True
295,12.3071,0.007341,6765.0566,0.008177,0.538501,0.495978,37.334195,0.015467,0.0,0.0074,-0.0018,0.999996,5e-06,0.547831,0.007036,0.011525,True
300,12.5156,0.008793,8103.8574,0.006293,0.584874,0.385618,2.955947,0.01421,0.0,0.0088,0.0044,0.999993,5e-06,0.546741,0.006453,0.00313,True
305,12.7242,0.008063,7430.8604,0.007387,0.355112,0.422714,10.605745,0.030534,0.0,0.0053,0.0026,0.999995,2e-06,0.545625,0.005694,0.003655,True
310,12.9328,0.008662,7983.082,0.007788,0.585587,0.443237,10.708642,0.017282,0.0,0.0154,0.0121,0.999979,-7e-06,0.545693,0.007076,0.006326,True
315,13.1414,0.009065,8354.4209,0.006755,0.510877,0.39806,28.416237,0.012319,0.0,0.0005,0.0039,0.999996,-1e-06,0.545618,0.006601,0.003706,True
320,13.35,0.005853,5393.9316,0.008135,0.324829,0.595867,30.358929,0.034425,0.0,0.0,0.002,0.999997,-1e-06,0.54671,0.003807,0.005713,True
325,13.5586,0.011939,11002.9141,0.00797,0.883337,0.355586,22.34508,0.018686,0.192359,-0.008,-0.0009,1.000006,-1e-06,0.546731,0.009343,0.004243,True
330,13.7672,0.005753,5301.5205,0.006662,0.280299,0.553851,8.796224,0.010445,0.0,0.0026,0.0033,1.000001,-3e-06,0.546716,0.003577,0.003546,True
335,13.9758,0.0087,8017.9072,0.006484,0.625095,0.435356,7.856882,0.024596,0.0,-0.0057,-0.0091,1.000014,-1e-06,0.548953,0.006399,0.004392,True
340,14.1844,0.010244,9441.2832,0.006411,0.562833,0.364697,26.377201,0.018625,0.114703,0.0035,0.0015,0.999991,3e-06,0.543427,0.007945,0.003404,True
345,14.393,0.005845,5386.5693,0.00568,0.313725,0.552014,17.266459,0.015626,0.0,0.0104,-0.0027,0.99999,1.1e-05,0.547854,0.00352,0.003994,True
350,14.6016,0.012052,11107.3672,0.009045,0.934653,0.376582,34.081896,0.02165,0.453533,0.0065,0.0051,0.999998,-4e-06,0.546727,0.008237,0.004411,True
355,14.8102,0.013963,12868.4746,0.013745,1.138335,0.355995,84.112028,0.028519,0.62031,0.0085,-0.0,0.999999,-2e-06,0.547825,0.00835,0.007087,True
360,15.0188,0.011039,10173.3066,0.009556,0.940622,0.411628,38.676486,0.013559,0.19887,0.0137,0.0023,0.999989,-0.0,0.548953,0.006629,0.005313,True
365,15.2274,0.019012,17521.0703,0.02701,1.558129,0.311143,178.423528,0.049234,1.012813,0.0122,0.0109,0.999986,-8e-06,0.550073,0.011433,0.005213,True
370,15.436,0.030632,28230.4297,0.122601,2.22513,0.282328,719.781727,0.190792,1.934119,0.0332,-0.0027,0.999971,8e-06,0.550141,0.016431,0.037924,True
375,15.6446,0.035461,32680.709,0.207888,2.591287,0.352308,702.126559,0.267184,1.745105,0.0146,-0.0008,0.999989,3e-06,0.550057,0.009037,0.010851,True
380,15.8531,0.038633,35603.8672,0.250532,2.643233,0.292647,968.854046,0.129523,1.529966,0.0088,0.0066,1.0,-5e-06,0.550032,0.016145,0.073105,True
385,16.0617,0.020077,18502.5234,0.061194,1.762816,0.379858,305.234361,0.020023,0.081823,0.0043,-0.0088,1.000001,7e-06,0.550032,0.007686,0.008082,True
390,16.2703,0.028101,25898.2461,0.09422,2.079056,0.295249,453.951268,0.013893,0.426778,0.0089,0.0032,0.999986,4e-06,0.550052,0.014435,0.007622,True
395,16.4789,0.019855,18298.0547,0.046706,1.743374,0.335148,510.70371,0.002366,0.0,0.0049,-0.0,0.999991,3e-06,0.55003,0.010759,0.025015,True
400,16.6875,0.020537,18927.0312,0.037687,1.685734,0.319666,226.727464,0.004833,0.0,-0.0009,0.0037,1.000001,-5e-06,0.548916,0.012126,0.006628,True
405,16.8961,0.011117,10245.0625,0.016026,0.988033,0.462894,138.691698,0.001581,0.0,-0.0213,-0.006,1.000014,-3e-06,0.547882,0.005331,0.011859,True
410,17.1047,0.02269,20910.6777,0.041396,1.806094,0.297988,337.137344,0.018208,0.0,-0.0006,-0.0016,1.000002,-4e-06,0.546711,0.012922,0.01238,True
415,17.3133,0.019852,18295.7344,0.047487,1.711694,0.344458,314.173697,0.03539,0.0,-0.0148,-0.0068,1.000016,5e-06,0.548973,0.010055,0.01444,True
420,17.5219,0.020756,19128.7988,0.049946,1.786117,0.332616,458.983985,0.038489,0.0,-0.0079,-0.0073,0.999997,5e-06,0.550037,0.01139,0.034868,True
425,17.7305,0.020575,18961.9824,0.044583,1.741693,0.319387,285.479625,0.043133,0.0,-0.0077,-0.0037,1.000003,1e-06,0.550028,0.012032,0.009869,True
